id,crops,years,area,average_humidity,average_rainfall,temp_max,temp_min,soil_temp,windspeed,cropyield
1,maize,1994,113.07,82,169.1143,27.88571,24.37143,31.27143,2.571429,123.58
2,maize,1995,154.17,80.7143,175.7286,27.27143,23.92857,32.17143,2.571429,184.74
3,maize,1996,131.03,79.4286,194.7857,27.54286,23.742857,31.78571,3,157.03
4,maize,1997,146.356,79.8571,147.2857,27.5,2312857,31.22857,3,200.613
5,maize,1998,159.4,77.2857,248.2,28.27143,24.5,31.31429,2.571429,189.101
6,maize,1999,149.202,78.1429,144.3857,27.62857,23.54286,31.14286,2.571429,251.566
7,maize,2000,140.7,77.7143,142.7,27.7,23.74286,31.44286,2.857143,245.8
8,maize,2001,136.8,80.8571,158.7,27.88571,24.18571,3168571,2.714286,234
9,maize,2002,130.45,83,156.6286,27.51429,24.15714,30.77143,2.571429,240.85
10,maize,2003,129,82,182.7714,28.45714,24.08571,31.27143,2.714286,250
11,maize,2004,132.14,84.1429,129.0429,28,24.37143,31.98571,2.57143,255
12,maize,2005,129.48,80.2857,228.0714,27.72857,24.18571,31.14286,2.571429,213.95
13,maize,2006,148.9,79.8571,212.4571,29.2,23.74286,32.14286,3,261.8
14,maize,2007,180.81,91.8571,209.5286,30.05714,24,32.28571,2.714286,289.29
15,maize,2008,189.31,94.7143,163.6714,30.5,24.82857,31.68571,2.714286,310.01
16,maize,2009,208.66,89.7143,152.3571,32.02857,24.81429,32.05714,3,336.6
17,maize,2010,227.05,89.8571,196.2429,32.65714,25.07143,32.34286,3.142857,371.34
18,maize,2011,283.69,90.8571,147.5857,32.58571,24.48571,31.74286,3,476.81
19,maize,2012,130.995,96.4286,194.4143,31.57143,24.18571,34.38571,3.285714,235.75
20,maize,2013,245.554,77.5714,172.5429,31.32857,23.85714,30.87143,2.428571,417089.09
